Categoria do Produto,Filial,Nome do Produto,Preço do Produto (R$),Quantidade em Estoque,Data da Venda
Roupas,Filial 8,Máscara de cílios,64.28,24,INDISPONIVEL
Eletrodomésticos,Filial 7,Sombra de olhos,26.71,1,INDISPONIVEL
Eletrônicos,Filial 3,Batom matte,58.17,16,INDISPONIVEL
Alimentos,Filial 10,Sombra de olhos,81.93,65,INDISPONIVEL
Eletrodomésticos,Filial 10,Lápis de sobrancelha,89.96,54,INDISPONIVEL
Alimentos,Filial 1,Máscara de cílios,75.6,20,INDISPONIVEL
Eletrônicos,Filial 1,Corretivo,53.98,21,INDISPONIVEL
Eletrodomésticos,Filial 10,Batom matte,10.25,1,INDISPONIVEL
Eletrodomésticos,Filial 5,Corretivo,31.76,11,INDISPONIVEL
Eletrônicos,Filial 9,Batom líquido,33.69,12,INDISPONIVEL
Alimentos,Filial 2,Pó compacto,44.9,68,INDISPONIVEL
Alimentos,Filial 2,Máscara de cílios,62.27,63,INDISPONIVEL
Eletrodomésticos,Filial 8,Máscara de cílios,15.45,38,INDISPONIVEL
Roupas,Filial 1,Pó compacto,1.53,62,INDISPONIVEL
Eletrônicos,Filial 6,Batom líquido,70.0,1,INDISPONIVEL
Eletrônicos,Filial 7,Pó compacto,79.24,60,INDISPONIVEL
Roupas,Filial 1,Máscara de cílios,79.14,39,INDISPONIVEL
Alimentos,Filial 8,Base líquida,99.19,63,INDISPONIVEL
Alimentos,Filial 5,Máscara de cílios,37.06,78,INDISPONIVEL
Eletrônicos,Filial 8,Pó compacto,29.8,12,INDISPONIVEL
Eletrodomésticos,Filial 6,Corretivo,52.0,80,INDISPONIVEL
Eletrodomésticos,Filial 3,Base líquida,89.7,65,INDISPONIVEL
Eletrodomésticos,Filial 2,Batom líquido,91.31,57,INDISPONIVEL
Eletrônicos,Filial 6,Pó compacto,48.14,77,INDISPONIVEL
Eletrodomésticos,Filial 7,Batom líquido,82.31,12,INDISPONIVEL
Roupas,Filial 3,Delineador líquido,59.96,30,INDISPONIVEL
Eletrônicos,Filial 9,Lápis de sobrancelha,93.08,42,INDISPONIVEL
Roupas,Filial 8,Batom líquido,3.91,37,INDISPONIVEL
Eletrodomésticos,Filial 3,Lápis de sobrancelha,56.51,39,INDISPONIVEL
Roupas,Filial 7,Delineador líquido,11.15,69,INDISPONIVEL
Eletrônicos,Filial 4,Base líquida,48.75,86,INDISPONIVEL
Eletrodomésticos,Filial 10,Delineador líquido,33.31,14,INDISPONIVEL
Eletrônicos,Filial 2,Corretivo,60.97,81,INDISPONIVEL
Eletrodomésticos,Filial 8,Delineador líquido,14.53,11,INDISPONIVEL
Alimentos,Filial 9,Batom líquido,33.68,99,INDISPONIVEL
Alimentos,Filial 5,Máscara de cílios,2.83,85,INDISPONIVEL
Roupas,Filial 2,Batom matte,68.23,40,INDISPONIVEL
Alimentos,Filial 5,Pó compacto,21.76,46,INDISPONIVEL
Eletrodomésticos,Filial 8,Base líquida,47.02,63,INDISPONIVEL
Eletrônicos,Filial 6,Base líquida,43.03,28,INDISPONIVEL
Roupas,Filial 2,Base líquida,15.3,29,INDISPONIVEL
Alimentos,Filial 2,Blush em pó,85.81,26,INDISPONIVEL
Eletrodomésticos,Filial 9,Máscara de cílios,62.99,96,INDISPONIVEL
Alimentos,Filial 4,Pó compacto,68.27,100,INDISPONIVEL
Alimentos,Filial 7,Corretivo,5.31,49,INDISPONIVEL
Alimentos,Filial 5,Batom matte,53.41,59,INDISPONIVEL
Eletrônicos,Filial 1,Máscara de cílios,34.25,100,INDISPONIVEL
Roupas,Filial 7,Blush em pó,9.65,18,INDISPONIVEL
Alimentos,Filial 7,Batom matte,15.6,26,INDISPONIVEL
Alimentos,Filial 5,Pó compacto,82.53,61,INDISPONIVEL
Eletrodomésticos,Filial 10,Batom matte,99.55,84,INDISPONIVEL
Roupas,Filial 3,Base líquida,76.81,91,INDISPONIVEL
Roupas,Filial 6,Blush em pó,69.43,84,INDISPONIVEL
Eletrônicos,Filial 10,Máscara de cílios,58.69,28,INDISPONIVEL
Roupas,Filial 7,Batom matte,98.95,72,INDISPONIVEL
Eletrodomésticos,Filial 2,Batom líquido,78.87,87,INDISPONIVEL
Eletrodomésticos,Filial 1,Blush em pó,37.35,35,INDISPONIVEL
Eletrônicos,Filial 5,Sombra de olhos,36.85,87,INDISPONIVEL
Eletrônicos,Filial 1,Batom líquido,37.5,93,INDISPONIVEL
Eletrônicos,Filial 1,Corretivo,13.62,56,INDISPONIVEL
Eletrônicos,Filial 8,Pó compacto,8.02,49,INDISPONIVEL
Roupas,Filial 7,Corretivo,83.5,68,INDISPONIVEL
Alimentos,Filial 9,Delineador líquido,51.08,97,INDISPONIVEL
Roupas,Filial 5,Delineador líquido,96.37,10,INDISPONIVEL
Roupas,Filial 9,Corretivo,5.81,55,INDISPONIVEL
Alimentos,Filial 8,Batom matte,19.44,81,INDISPONIVEL
Alimentos,Filial 10,Corretivo,1.46,3,INDISPONIVEL
Alimentos,Filial 8,Pó compacto,9.15,7,INDISPONIVEL
Eletrônicos,Filial 9,Lápis de sobrancelha,9.57,41,INDISPONIVEL
Eletrodomésticos,Filial 1,Blush em pó,49.26,10,INDISPONIVEL
Eletrodomésticos,Filial 3,Blush em pó,28.92,1,INDISPONIVEL
Alimentos,Filial 6,Máscara de cílios,94.15,54,INDISPONIVEL
Roupas,Filial 6,Pó compacto,48.27,63,INDISPONIVEL
Eletrodomésticos,Filial 7,Máscara de cílios,45.64,53,INDISPONIVEL
Alimentos,Filial 7,Batom matte,33.77,60,INDISPONIVEL
Eletrônicos,Filial 2,Lápis de sobrancelha,83.21,43,INDISPONIVEL
Eletrônicos,Filial 9,Pó compacto,22.32,98,INDISPONIVEL
Eletrônicos,Filial 9,Pó compacto,5.96,21,INDISPONIVEL
Alimentos,Filial 8,Sombra de olhos,92.3,53,INDISPONIVEL
Alimentos,Filial 7,Blush em pó,12.34,50,INDISPONIVEL
Roupas,Filial 6,Pó compacto,10.27,56,INDISPONIVEL
Alimentos,Filial 5,Pó compacto,96.11,6,INDISPONIVEL
Eletrodomésticos,Filial 5,Lápis de sobrancelha,64.91,67,INDISPONIVEL
Roupas,Filial 4,Delineador líquido,52.4,52,INDISPONIVEL
Roupas,Filial 9,Base líquida,90.54,70,INDISPONIVEL
Roupas,Filial 1,Sombra de olhos,70.74,53,INDISPONIVEL
Alimentos,Filial 3,Corretivo,62.27,10,INDISPONIVEL
Alimentos,Filial 6,Corretivo,48.68,83,INDISPONIVEL
Alimentos,Filial 2,Blush em pó,23.46,33,INDISPONIVEL
Alimentos,Filial 5,Blush em pó,73.78,12,INDISPONIVEL
Alimentos,Filial 10,Corretivo,87.16,69,INDISPONIVEL
Eletrônicos,Filial 9,Pó compacto,16.85,91,INDISPONIVEL
Eletrodomésticos,Filial 1,Base líquida,76.64,68,INDISPONIVEL
Eletrônicos,Filial 7,Lápis de sobrancelha,54.9,57,INDISPONIVEL
Eletrodomésticos,Filial 8,Sombra de olhos,27.2,34,INDISPONIVEL
Alimentos,Filial 3,Máscara de cílios,59.07,30,INDISPONIVEL
Eletrônicos,Filial 10,Sombra de olhos,99.95,29,INDISPONIVEL
Eletrônicos,Filial 4,Blush em pó,11.0,41,INDISPONIVEL
Eletrodomésticos,Filial 10,Delineador líquido,99.5,4,INDISPONIVEL
Roupas,Filial 7,Pó compacto,22.48,58,INDISPONIVEL
Alimentos,Filial 3,Pó compacto,70.12,54,INDISPONIVEL
Eletrônicos,Filial 3,Lápis de sobrancelha,47.73,53,INDISPONIVEL
Roupas,Filial 3,Base líquida,76.98,91,INDISPONIVEL
Eletrônicos,Filial 6,Blush em pó,47.95,67,INDISPONIVEL
Eletrodomésticos,Filial 9,Pó compacto,6.78,45,INDISPONIVEL
Eletrodomésticos,Filial 4,Corretivo,22.66,45,INDISPONIVEL
Roupas,Filial 5,Máscara de cílios,47.59,18,INDISPONIVEL
Eletrônicos,Filial 6,Pó compacto,8.67,23,INDISPONIVEL
Roupas,Filial 10,Batom matte,51.75,47,INDISPONIVEL
Roupas,Filial 1,Máscara de cílios,55.75,73,INDISPONIVEL
Eletrodomésticos,Filial 5,Batom matte,38.21,38,INDISPONIVEL
Eletrônicos,Filial 10,Batom matte,90.65,52,INDISPONIVEL
Eletrodomésticos,Filial 4,Pó compacto,6.94,61,INDISPONIVEL
Alimentos,Filial 9,Base líquida,57.36,92,INDISPONIVEL
Eletrônicos,Filial 2,Máscara de cílios,4.27,86,INDISPONIVEL
Roupas,Filial 4,Blush em pó,67.2,23,INDISPONIVEL
Alimentos,Filial 3,Máscara de cílios,98.1,85,INDISPONIVEL
Eletrodomésticos,Filial 4,Blush em pó,84.94,50,INDISPONIVEL
Alimentos,Filial 6,Batom líquido,58.91,63,INDISPONIVEL
Eletrônicos,Filial 5,Pó compacto,96.86,61,INDISPONIVEL
Eletrônicos,Filial 4,Delineador líquido,85.35,70,INDISPONIVEL
Eletrodomésticos,Filial 10,Máscara de cílios,80.35,55,INDISPONIVEL
Alimentos,Filial 6,Blush em pó,2.15,45,INDISPONIVEL
Roupas,Filial 8,Delineador líquido,64.49,88,INDISPONIVEL
Alimentos,Filial 3,Sombra de olhos,70.7,36,INDISPONIVEL
Eletrodomésticos,Filial 3,Lápis de sobrancelha,44.67,15,INDISPONIVEL
Eletrodomésticos,Filial 9,Base líquida,30.42,47,INDISPONIVEL
Alimentos,Filial 6,Corretivo,31.79,87,INDISPONIVEL
Eletrodomésticos,Filial 9,Batom matte,37.82,4,INDISPONIVEL
Eletrodomésticos,Filial 5,Blush em pó,88.26,40,INDISPONIVEL
Eletrônicos,Filial 2,Blush em pó,26.6,9,INDISPONIVEL
Roupas,Filial 8,Sombra de olhos,74.21,44,INDISPONIVEL
Alimentos,Filial 10,Base líquida,45.22,31,INDISPONIVEL
Alimentos,Filial 8,Base líquida,28.09,96,INDISPONIVEL
Eletrônicos,Filial 6,Batom matte,62.53,45,INDISPONIVEL
Alimentos,Filial 8,Sombra de olhos,28.69,81,INDISPONIVEL
Roupas,Filial 5,Sombra de olhos,67.67,6,INDISPONIVEL
Eletrônicos,Filial 10,Delineador líquido,86.63,8,INDISPONIVEL
Alimentos,Filial 9,Máscara de cílios,75.24,12,INDISPONIVEL
Roupas,Filial 7,Delineador líquido,9.53,37,INDISPONIVEL
Roupas,Filial 6,Sombra de olhos,58.7,38,INDISPONIVEL
Alimentos,Filial 7,Corretivo,41.91,21,INDISPONIVEL
Roupas,Filial 4,Lápis de sobrancelha,34.24,13,INDISPONIVEL
Eletrônicos,Filial 1,Batom matte,15.69,80,INDISPONIVEL
Alimentos,Filial 9,Batom matte,68.83,71,INDISPONIVEL
Alimentos,Filial 9,Pó compacto,67.0,8,INDISPONIVEL
Eletrônicos,Filial 9,Sombra de olhos,29.15,2,INDISPONIVEL
Eletrodomésticos,Filial 10,Lápis de sobrancelha,98.94,48,INDISPONIVEL
Eletrônicos,Filial 10,Corretivo,50.1,54,INDISPONIVEL
Roupas,Filial 10,Batom líquido,63.19,28,INDISPONIVEL
Eletrodomésticos,Filial 4,Batom matte,25.2,14,INDISPONIVEL
Alimentos,Filial 9,Blush em pó,45.62,81,INDISPONIVEL
Alimentos,Filial 2,Base líquida,73.27,69,INDISPONIVEL
Roupas,Filial 9,Base líquida,77.17,84,INDISPONIVEL
Eletrodomésticos,Filial 1,Blush em pó,55.1,53,INDISPONIVEL
Alimentos,Filial 3,Batom líquido,72.3,49,INDISPONIVEL
Eletrodomésticos,Filial 7,Base líquida,78.7,12,INDISPONIVEL
Roupas,Filial 4,Corretivo,47.23,19,INDISPONIVEL
Alimentos,Filial 5,Lápis de sobrancelha,84.6,8,INDISPONIVEL
Eletrodomésticos,Filial 10,Blush em pó,15.92,77,INDISPONIVEL
Eletrodomésticos,Filial 4,Delineador líquido,40.97,6,INDISPONIVEL
Eletrônicos,Filial 2,Pó compacto,17.85,52,INDISPONIVEL
Eletrônicos,Filial 8,Batom líquido,88.73,52,INDISPONIVEL
Eletrodomésticos,Filial 3,Blush em pó,42.18,30,INDISPONIVEL
Eletrodomésticos,Filial 8,Blush em pó,90.03,29,INDISPONIVEL
Eletrônicos,Filial 1,Blush em pó,62.38,32,INDISPONIVEL
Alimentos,Filial 4,Máscara de cílios,2.3,80,INDISPONIVEL
Eletrônicos,Filial 4,Máscara de cílios,61.67,16,INDISPONIVEL
Eletrodomésticos,Filial 1,Blush em pó,12.87,99,INDISPONIVEL
Eletrônicos,Filial 9,Corretivo,95.35,13,INDISPONIVEL
Eletrônicos,Filial 5,Máscara de cílios,66.98,74,INDISPONIVEL
Roupas,Filial 5,Corretivo,17.05,15,INDISPONIVEL
Alimentos,Filial 10,Delineador líquido,2.35,72,INDISPONIVEL
Alimentos,Filial 3,Batom líquido,53.51,95,INDISPONIVEL
Alimentos,Filial 9,Corretivo,55.6,88,INDISPONIVEL
Eletrônicos,Filial 10,Pó compacto,45.67,23,INDISPONIVEL
Eletrônicos,Filial 9,Batom matte,6.39,25,INDISPONIVEL
Alimentos,Filial 5,Lápis de sobrancelha,97.64,26,INDISPONIVEL
Roupas,Filial 4,Sombra de olhos,89.79,99,INDISPONIVEL
Eletrodomésticos,Filial 2,Corretivo,33.89,75,INDISPONIVEL
Eletrodomésticos,Filial 9,Sombra de olhos,24.9,25,INDISPONIVEL
Eletrodomésticos,Filial 10,Batom líquido,96.44,19,INDISPONIVEL
Eletrônicos,Filial 10,Delineador líquido,56.63,82,INDISPONIVEL
Eletrodomésticos,Filial 7,Batom líquido,91.76,32,INDISPONIVEL
Eletrônicos,Filial 5,Pó compacto,31.41,43,INDISPONIVEL
Roupas,Filial 1,Delineador líquido,41.49,82,INDISPONIVEL
Alimentos,Filial 5,Máscara de cílios,35.63,23,INDISPONIVEL
Roupas,Filial 10,Base líquida,13.17,79,INDISPONIVEL
Eletrônicos,Filial 10,Batom matte,35.1,81,INDISPONIVEL
Eletrônicos,Filial 4,Delineador líquido,26.65,67,INDISPONIVEL
Roupas,Filial 9,Pó compacto,44.3,20,INDISPONIVEL
Alimentos,Filial 5,Sombra de olhos,86.83,30,INDISPONIVEL
Eletrônicos,Filial 9,Lápis de sobrancelha,21.81,83,INDISPONIVEL
Eletrodomésticos,Filial 2,Máscara de cílios,58.22,85,INDISPONIVEL
Eletrônicos,Filial 1,Batom matte,47.59,79,INDISPONIVEL
Roupas,Filial 8,Blush em pó,36.36,75,INDISPONIVEL
Roupas,Filial 2,Batom matte,23.1,97,INDISPONIVEL
Eletrônicos,Filial 9,Máscara de cílios,42.57,33,INDISPONIVEL
Roupas,Filial 10,Batom matte,87.49,97,INDISPONIVEL
Eletrodomésticos,Filial 8,Batom líquido,57.73,89,INDISPONIVEL
Alimentos,Filial 4,Sombra de olhos,90.69,28,INDISPONIVEL
Eletrodomésticos,Filial 1,Corretivo,42.19,42,INDISPONIVEL
Eletrodomésticos,Filial 8,Delineador líquido,57.16,57,INDISPONIVEL
Eletrônicos,Filial 8,Delineador líquido,60.34,49,INDISPONIVEL
Eletrodomésticos,Filial 7,Lápis de sobrancelha,52.33,7,INDISPONIVEL
Alimentos,Filial 3,Máscara de cílios,75.09,31,INDISPONIVEL
Roupas,Filial 3,Máscara de cílios,16.82,41,INDISPONIVEL
Roupas,Filial 2,Batom líquido,55.89,6,INDISPONIVEL
Roupas,Filial 1,Delineador líquido,48.4,67,INDISPONIVEL
Alimentos,Filial 8,Batom líquido,79.22,14,INDISPONIVEL
Eletrodomésticos,Filial 4,Corretivo,71.86,67,INDISPONIVEL
Alimentos,Filial 7,Base líquida,42.08,84,INDISPONIVEL
Roupas,Filial 7,Delineador líquido,2.88,74,INDISPONIVEL
Eletrônicos,Filial 9,Batom matte,46.45,71,INDISPONIVEL
Alimentos,Filial 10,Batom matte,99.73,27,INDISPONIVEL
Eletrônicos,Filial 6,Base líquida,90.56,12,INDISPONIVEL
Alimentos,Filial 9,Batom líquido,77.96,46,INDISPONIVEL
Roupas,Filial 6,Sombra de olhos,89.09,37,INDISPONIVEL
Eletrônicos,Filial 8,Lápis de sobrancelha,50.84,21,INDISPONIVEL
Eletrônicos,Filial 2,Corretivo,80.3,80,INDISPONIVEL
Roupas,Filial 4,Pó compacto,84.23,43,INDISPONIVEL
Eletrônicos,Filial 2,Batom líquido,44.06,6,INDISPONIVEL
Eletrodomésticos,Filial 6,Delineador líquido,18.79,80,INDISPONIVEL
Eletrodomésticos,Filial 9,Base líquida,36.78,47,INDISPONIVEL
Eletrônicos,Filial 1,Máscara de cílios,97.3,16,INDISPONIVEL
Alimentos,Filial 4,Batom matte,36.58,97,INDISPONIVEL
Eletrônicos,Filial 3,Base líquida,42.94,10,INDISPONIVEL
Eletrodomésticos,Filial 5,Base líquida,69.63,18,INDISPONIVEL
Alimentos,Filial 5,Corretivo,93.65,39,INDISPONIVEL
Roupas,Filial 2,Corretivo,24.51,69,INDISPONIVEL
Eletrônicos,Filial 2,Batom líquido,10.69,48,INDISPONIVEL
Roupas,Filial 9,Base líquida,28.14,58,INDISPONIVEL
Eletrônicos,Filial 6,Base líquida,95.79,81,INDISPONIVEL
Alimentos,Filial 8,Pó compacto,63.76,59,INDISPONIVEL
Eletrônicos,Filial 6,Lápis de sobrancelha,27.3,50,INDISPONIVEL
Eletrodomésticos,Filial 6,Pó compacto,63.01,93,INDISPONIVEL
Alimentos,Filial 4,Delineador líquido,92.11,93,INDISPONIVEL
Eletrodomésticos,Filial 4,Blush em pó,10.97,68,INDISPONIVEL
Eletrodomésticos,Filial 7,Delineador líquido,94.17,72,INDISPONIVEL
Alimentos,Filial 7,Lápis de sobrancelha,12.88,17,INDISPONIVEL
Roupas,Filial 9,Batom matte,15.27,30,INDISPONIVEL
Alimentos,Filial 3,Máscara de cílios,71.67,76,INDISPONIVEL
Eletrodomésticos,Filial 2,Pó compacto,30.27,100,INDISPONIVEL
Eletrodomésticos,Filial 1,Blush em pó,57.3,77,INDISPONIVEL
Eletrodomésticos,Filial 5,Corretivo,76.73,46,INDISPONIVEL
Eletrodomésticos,Filial 9,Sombra de olhos,66.39,24,INDISPONIVEL
Eletrônicos,Filial 7,Batom líquido,16.84,61,INDISPONIVEL
Eletrodomésticos,Filial 5,Lápis de sobrancelha,15.01,69,INDISPONIVEL
Eletrônicos,Filial 2,Blush em pó,47.44,4,INDISPONIVEL
Alimentos,Filial 2,Sombra de olhos,71.13,62,INDISPONIVEL
Alimentos,Filial 10,Batom líquido,92.12,22,INDISPONIVEL
Eletrônicos,Filial 9,Base líquida,67.92,52,INDISPONIVEL
Eletrodomésticos,Filial 9,Lápis de sobrancelha,52.46,3,INDISPONIVEL
Eletrônicos,Filial 5,Batom líquido,2.72,16,INDISPONIVEL
Alimentos,Filial 8,Batom matte,84.72,7,INDISPONIVEL
Eletrônicos,Filial 9,Delineador líquido,72.44,78,INDISPONIVEL
Alimentos,Filial 8,Máscara de cílios,73.86,98,INDISPONIVEL
Eletrônicos,Filial 6,Batom líquido,78.87,44,INDISPONIVEL
Eletrodomésticos,Filial 9,Corretivo,48.12,67,INDISPONIVEL
Eletrônicos,Filial 4,Base líquida,88.12,33,INDISPONIVEL
Alimentos,Filial 1,Lápis de sobrancelha,59.25,71,INDISPONIVEL
Eletrônicos,Filial 6,Blush em pó,41.66,82,INDISPONIVEL
Alimentos,Filial 6,Pó compacto,51.03,34,INDISPONIVEL
Eletrônicos,Filial 2,Batom matte,79.72,43,INDISPONIVEL
Eletrônicos,Filial 2,Batom líquido,6.33,10,INDISPONIVEL
Eletrônicos,Filial 6,Batom líquido,15.24,15,INDISPONIVEL
Roupas,Filial 2,Lápis de sobrancelha,80.72,87,INDISPONIVEL
Eletrônicos,Filial 8,Lápis de sobrancelha,24.08,66,INDISPONIVEL
Alimentos,Filial 6,Corretivo,88.86,22,INDISPONIVEL
Eletrônicos,Filial 8,Batom líquido,64.8,99,INDISPONIVEL
Eletrodomésticos,Filial 3,Delineador líquido,32.16,19,INDISPONIVEL
Eletrodomésticos,Filial 9,Batom matte,55.41,71,INDISPONIVEL
Alimentos,Filial 8,Corretivo,84.68,82,INDISPONIVEL
Roupas,Filial 10,Pó compacto,97.79,42,INDISPONIVEL
Eletrônicos,Filial 5,Sombra de olhos,61.39,84,INDISPONIVEL
Alimentos,Filial 2,Blush em pó,62.34,21,INDISPONIVEL
Alimentos,Filial 1,Pó compacto,75.12,9,INDISPONIVEL
Roupas,Filial 2,Batom matte,30.13,100,INDISPONIVEL
Roupas,Filial 4,Corretivo,55.63,78,INDISPONIVEL
Alimentos,Filial 5,Batom matte,9.33,21,INDISPONIVEL
Roupas,Filial 3,Pó compacto,29.52,20,INDISPONIVEL
